,Team,Win PCT,seasonEncoded
0,Indiana,0.725,7
1,San Antonio,0.685,7
2,Minnesota,0.68,7
3,Detroit,0.667,7
4,LA Lakers,0.664,7
5,Sacramento,0.66,7
6,Dallas,0.609,7
7,Memphis,0.581,7
8,Brooklyn,0.581,7
9,Houston,0.529,7
10,Utah,0.512,7
11,Denver,0.506,7
12,Miami,0.505,7
13,Portland,0.5,7
14,New Orleans,0.494,7
15,Milwaukee,0.483,7
16,New York,0.454,7
17,Okla City,0.451,7
18,Golden State,0.451,7
19,Cleveland,0.427,7
20,Boston,0.419,7
21,Toronto,0.402,7
22,Philadelphia,0.402,7
23,Phoenix,0.354,7
24,Atlanta,0.342,7
25,LA Clippers,0.342,7
26,Washington,0.305,7
27,Chicago,0.281,7
28,Orlando,0.256,7
29,Phoenix,0.732,8
30,San Antonio,0.723,8
31,Miami,0.722,8
32,Dallas,0.674,8
33,Detroit,0.651,8
34,Okla City,0.624,8
35,Houston,0.607,8
36,Sacramento,0.586,8
37,Denver,0.575,8
38,Chicago,0.557,8
39,Boston,0.539,8
40,Minnesota,0.537,8
41,Washington,0.533,8
42,Indiana,0.526,8
43,Memphis,0.523,8
44,Cleveland,0.512,8
45,Philadelphia,0.506,8
46,Brooklyn,0.488,8
47,LA Clippers,0.451,8
48,Orlando,0.439,8
49,LA Lakers,0.415,8
50,Golden State,0.415,8
51,New York,0.402,8
52,Toronto,0.402,8
53,Milwaukee,0.366,8
54,Portland,0.329,8
55,Utah,0.317,8
56,New Orleans,0.22,8
57,Charlotte,0.22,8
58,Atlanta,0.159,8
59,Detroit,0.74,9
60,San Antonio,0.737,9
61,Dallas,0.718,9
62,Miami,0.641,9
63,Phoenix,0.628,9
64,Cleveland,0.6,9
65,Brooklyn,0.581,9
66,LA Clippers,0.575,9
67,Memphis,0.57,9
68,LA Lakers,0.539,9
69,Sacramento,0.523,9
70,Denver,0.517,9
71,Washington,0.5,9
72,Utah,0.5,9
73,Indiana,0.489,9
74,Chicago,0.489,9
75,Milwaukee,0.471,9
76,New Orleans,0.463,9
77,Philadelphia,0.463,9
78,Orlando,0.439,9
79,Okla City,0.427,9
80,Golden State,0.415,9
81,Houston,0.415,9
82,Minnesota,0.402,9
83,Boston,0.402,9
84,Toronto,0.329,9
85,Charlotte,0.317,9
86,Atlanta,0.317,9
87,New York,0.281,9
88,Portland,0.256,9
89,Dallas,0.784,10
90,San Antonio,0.726,10
